DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
18.52633,5.24871,178,2.43585,0.85287,0.69277,0,2.2399,5.71037,2,20.58875,0.00289,0.04409,1.73205,58.53143,0.06002,7.12967,2.08108,1,5,3.44,3
18.64857,5.13806,174,2.43532,0.81144,0.23526,0,2.87708,5.84461,2,25.74499,-0.00111,0,0.44721,33.66383,0.01667,7.46062,-1.78378,1,5,3.44,3
18.61869,5.16732,174,2.43493,0.81633,0.84041,0,2.57642,5.66751,2,19.95179,-0.00414,-0.03536,1.89737,186.32895,0.07059,7.08525,-1.67568,1,5,3.44,3
18.58882,5.19659,177,2.43454,0.8279,0.94456,0,2.3795,5.63964,2,14.55844,0.00339,0.0256,1.94936,83.54207,0.08314,6.89306,1.24324,1,5,3.44,3
18.55895,5.22586,177,2.43413,0.83261,0.03001,0,3.31743,5.85711,2,52.72078,0,0,0.63246,0,0,9.35056,1.05405,1,5,3.44,3
18.52907,5.25514,177,2.43371,0.83731,0.44813,0,3.30797,5.85565,2,19.22264,0,0,0.63246,36.39616,0.03332,7.62681,0.81081,1,5,3.44,3
18.65134,5.1448,175,2.4332,0.80735,1.21042,0,1.7321,1.23036,2,29.66569,-0.00295,-0.01496,2.09762,229.63626,0.09688,6.91526,-1.27027,1,5,3.44,3
18.62147,5.17402,177,2.43281,0.81223,1.17556,0,0.52819,2.50994,2,22.16388,0.00206,0.00135,1.89737,138.03572,0.09688,6.83962,0.81081,1,5,3.44,3
18.5916,5.20325,178,2.43242,0.81684,0.28768,0,1.44252,5.81662,2,23.43146,0.00056,0.16499,1.09545,22.75212,0.02357,7.94429,1.81081,1,5,3.44,3
18.56174,5.23248,176,2.43201,0.82599,0.4561,0,3.16386,5.86297,2,30.20057,-0.00155,-0.0477,1,69.05743,0.03725,7.60948,-0.27027,1,5,3.44,3
18.53187,5.26173,176,2.4316,0.82671,0.23358,0,3.7306,5.87136,2,17.12168,-0.00111,0,0.44721,27.56187,0.01667,7.94734,-0.40541,1,5,3.44,3
18.65416,5.15171,179,2.43109,0.80324,0.83893,0,0.19222,5.55888,2,14.55844,0.00474,0.01141,1.84391,61.84658,0.06861,6.83183,1.97297,1,5,3.44,3
18.6243,5.18089,179,2.43071,0.8059,0.28729,0,0.19264,5.80899,2,11.71573,0.00083,0.15321,1.09545,21.2132,0.02357,7.85997,2.18919,1,5,3.44,3
18.59443,5.21008,178,2.43032,0.80634,0.63692,0,0.75761,5.83082,2,14.55844,0.00127,0.01792,1.09545,52.47123,0.05266,7.17637,1.35135,1,5,3.44,3
18.56457,5.23927,176,2.42991,0.80815,0.46371,0,3.15134,5.86529,2,38.37188,-0.00222,0,0.89443,75.81481,0.03332,7.56469,-0.59459,1,5,3.44,3
18.53471,5.26848,176,2.4295,0.81726,0.03001,0,3.76128,5.87403,2,37.16235,0,0,0,0,0,10.65699,-0.56757,1,5,3.44,3
22.95002,4.42945,180,2.26356,1.04364,0.85475,0,4.69189,5.6544,2,27.94789,0.00019,0.01332,1.34164,99.65617,0.06861,7.02838,0.02703,1,5,20,4
22.92002,4.43402,179,2.26399,1.034,0.94521,0,3.82294,4.86222,2,35.14719,-0.00221,-0.03333,1.54919,158.72217,0.06657,6.83426,-1.48649,1,5,20,4
22.89002,4.43878,180,2.26443,1.02695,1.11794,0,0.90102,3.66264,2,44.32777,-0.00466,0.00295,2,165.88402,0.094,6.56532,-0.89189,1,5,20,4
22.86002,4.44375,183,2.26486,1.01806,1.3138,0,0.13141,3.64139,2,17.57359,0.00152,0.01676,2.14476,129.23193,0.10632,6.45156,1.91892,1,5,20,4
22.83002,4.44891,184,2.26529,1.00481,0.84303,0,4.08714,5.32525,2,17.57359,0.00032,0.01141,1.34164,71.52549,0.06861,6.69668,2.75676,1,5,20,4
22.95008,4.45911,178,2.26228,1.04647,0.47097,0,4.84492,5.81951,2,42.43824,-0.00222,0,0.89443,95.85381,0.03332,7.22005,-1.54054,1,5,20,4
22.92008,4.46365,178,2.26271,1.03524,1.26658,0,3.53867,4.53915,2,21.45194,-0.0055,-0.02667,2.32379,350.38367,0.08314,6.74505,-1.97297,1,5,20,4
22.89008,4.46839,183,2.26315,1.02804,1.79312,0,0.10862,1.00483,2,14.66026,0.00327,0.05714,3.06594,115.87352,0.11614,6.30541,2.72973,1,5,20,4
22.86008,4.47332,185,2.26358,1.02149,0.69198,0,0.01337,3.72634,2,10.29437,0.00179,0.09956,2.23607,56.2718,0.06002,6.77321,4.45946,1,5,20,4
22.83008,4.47845,186,2.26402,1.0061,0.89419,0,0.05182,3.81093,2,8.7868,0.00883,0.03333,2.89828,60,0.06657,6.64434,5.21622,1,5,20,4
22.95018,4.48879,178,2.261,1.0496,0.23109,0,4.88665,5.86757,2,15.73248,-0.00111,0,0.44721,19.07883,0.01667,8.07825,-1.08108,1,5,20,4
22.92018,4.49329,179,2.26143,1.03644,0.45014,0,4.83433,5.814,2,11.71573,0,0.06667,0.89443,41.19193,0.03332,7.28825,-0.37838,1,5,20,4
22.89018,4.498,180,2.26187,1.02909,1.06893,0,0.45195,3.74323,2,25.45788,-0.00227,0.01323,1.73205,123.02249,0.08951,6.65131,0.35135,1,5,20,4
22.86018,4.5029,181,2.26231,1.02244,1.81958,0,0.18757,0.75826,2,13.59245,-0.00109,0.01905,2.32379,153.54974,0.11614,6.45229,1.08108,1,5,20,4
22.83018,4.50799,180,2.26274,1.00879,2.0389,0,0.41928,0.24223,2,35.14719,-0.00407,-0.0019,2.89828,227.88802,0.13658,6.38133,-0.2973,1,5,20,4
22.95031,4.51846,178,2.25971,1.0527,0.03001,0,4.89316,5.87559,2,40.12065,0,0,0,0,0,9.10231,-0.62162,1,5,20,4
22.92031,4.52294,178,2.26015,1.03762,0.23241,0,4.88522,5.87063,2,14.8694,-0.00111,0,0.44721,23.51798,0.01667,7.71612,-0.72973,1,5,20,4
22.89031,4.52762,178,2.26059,1.03011,0.45718,0,4.85,5.83686,2,17.64757,-0.00222,0,0.89443,58.6762,0.03332,7.2202,-1.05405,1,5,20,4
22.86032,4.53248,178,2.26103,1.02336,0.69436,0,4.77744,5.76709,2,19.43379,-0.00332,0,1.34164,100.48708,0.04996,6.93049,-1.40541,1,5,20,4
22.83031,4.53754,178,2.26147,1.01266,0.46484,0,4.79134,5.78749,2,29.3293,-0.00222,0,0.89443,78.84199,0.03332,6.95102,-1.7027,1,5,20,4
22.95049,4.54814,178,2.25843,1.05576,0.03001,0,4.89464,5.87781,2,35.17231,0,0,0,0,0,10.14104,-0.37838,1,5,20,4
22.92049,4.55259,178,2.25888,1.03878,0.23119,0,4.89099,5.87759,2,13.11694,-0.00111,0,0.44721,19.40415,0.01667,8.49852,-0.45946,1,5,20,4
22.89049,4.55724,178,2.25932,1.03143,0.23119,0,4.88621,5.87629,2,14.59354,-0.00111,0,0.44721,19.40415,0.01667,8.5108,-0.67568,1,5,20,4
22.86049,4.56207,178,2.25976,1.02454,0.03001,0,4.88089,5.87461,2,17.45582,0,0,0,0,0,10.18997,-0.91892,1,5,20,4
22.83049,4.5671,178,2.26019,1.01693,0.03001,0,4.87345,5.87102,2,24.43528,0,0,0,0,0,10.91018,-1,1,5,20,4
0.53666,0.93048,132,2.152,1.99354,1.15754,1.12147,2.64906,0.02814,5,35.29441,-0.0033,0.02667,1.94936,136.7009,0.08314,6.40944,-1.32432,1,4,1.47,2
0.55073,0.94154,131,2.15023,1.99591,1.28818,1.12284,2.31358,0.00485,5,37.72586,-0.00427,-0.06978,2.89828,449.78061,0.09688,6.59155,-2.75676,1,4,1.47,2
0.56365,0.95341,135,2.14847,1.99815,0.89632,1.1242,2.91421,0.11149,5,19.16082,0.00441,0.03333,1.89737,63.88443,0.06657,6.74299,0.89189,1,4,1.47,2
0.57706,0.96607,135,2.14671,2.00039,0.28729,1.12555,3.03335,0.10536,5,12.42641,0.00111,0.04714,0.63246,21.2132,0.02357,7.75494,0.48649,1,4,1.47,2
0.59093,0.97949,134,2.14496,2.00261,0.23355,1.12689,2.96496,0.00125,5,17.88462,-0.00111,0,0.44721,27.46104,0.01667,7.54466,-1.2973,1,4,1.47,2
0.56365,0.95859,136,2.15428,1.99456,2.3227,1.12227,0.03242,0.72894,5,35.14719,-0.00064,0.01827,3.16228,185.99002,0.15682,5.84341,2.16216,1,4,1.47,2
0.57706,0.96933,136,2.15252,1.9968,1.36724,1.12363,0.29729,0.41524,5,14.55844,0.00251,0.039,2.44949,118.97474,0.10502,6.20225,1.62162,1,4,1.47,2
0.59093,0.98087,134,2.15076,1.99904,0.45309,1.12499,2.97861,0.01194,5,100.18308,-0.00044,-0.07752,1,58.74229,0.03725,6.87483,-0.97297,1,4,1.47,2
0.60374,0.99318,134,2.14901,2.00127,0.23391,1.12633,2.99958,0.00234,5,20.60887,-0.00111,0,0.44721,28.72244,0.01667,7.12257,-1.48649,1,4,1.47,2
0.61774,1.00623,134,2.14726,2.0035,0.46591,1.12767,2.94511,0.00236,5,22.73236,-0.0031,-0.00596,1,104.43486,0.03725,6.64981,-1.75676,1,4,1.47,2
